function,offset,target addr,instruction,type
load_TLS_descriptor,0x4f,0xffffffff810232a0,CALL 0xffffffff810232a0,direct call
load_TLS_descriptor,0x59,0xffffffff8102c4d0,CALL 0xffffffff8102c4d0,direct call
load_TLS_descriptor,0x64,ctx->rsi,"MOV qword ptr [RSI],0xa",write other [TODO]
load_TLS_descriptor,0x6b,ctx->rsi + 0x10,"MOV qword ptr [RSI + 0x10],R12",write other [TODO]
load_TLS_descriptor,0x6f,ctx->rsi + 0x18,"MOV qword ptr [RSI + 0x18],RAX",write other [TODO]
load_TLS_descriptor,0x79,,RET,ret
xen_mc_issue.constprop.0,0x6,0xffffffff81080830,CALL 0xffffffff81080830,direct call
xen_mc_issue.constprop.0,0x1c,0xffffffff82e4b960,CALL qword ptr [0xffffffff82e4b960],in-direct call
xen_mc_issue.constprop.0,0x23,,RET,ret
xen_mc_issue.constprop.0,0x68,0xffffffff8102c2f0,CALL 0xffffffff8102c2f0,direct call
xen_load_tls,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
xen_load_tls,0x13,0xffffffff81080830,CALL 0xffffffff81080830,direct call
xen_load_tls,0x1d,0xffffffff810272d0,CALL 0xffffffff810272d0,direct call
xen_load_tls,0x2a,0xffffffff810276f0,CALL 0xffffffff810276f0,direct call
xen_load_tls,0x3a,0xffffffff810276f0,CALL 0xffffffff810276f0,direct call
xen_load_tls,0x4a,0xffffffff810276f0,CALL 0xffffffff810276f0,direct call
xen_load_tls,0x4f,0xffffffff810277c0,CALL 0xffffffff810277c0,direct call
xen_load_tls,0x59,,RET,ret
xen_write_ldt_entry,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
xen_write_ldt_entry,0x22,0xffffffff810232a0,CALL 0xffffffff810232a0,direct call
xen_write_ldt_entry,0x36,0xffffffff8102c2f0,CALL 0xffffffff8102c2f0,direct call
xen_write_ldt_entry,0x41,0xffffffff81cfe140,CALL 0xffffffff81cfe140,direct call
xen_write_ldt_entry,0x5d,,RET,ret
xen_write_ldt_entry,0xa6,0xffffffff82000810,CALL 0xffffffff82000810,direct call
xen_write_gdt_entry,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
xen_write_gdt_entry,0x3f,,RET,ret
xen_write_gdt_entry,0x91,0xffffffff810232a0,CALL 0xffffffff810232a0,direct call
xen_write_gdt_entry,0x99,0xffffffff8102c2f0,CALL 0xffffffff8102c2f0,direct call
xen_write_gdt_entry,0xa4,0xffffffff81cfe140,CALL 0xffffffff81cfe140,direct call
xen_write_gdt_entry,0xaf,0xffffffff82000810,CALL 0xffffffff82000810,direct call
xen_load_idt,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
xen_load_idt,0x1a,0xffffffff81d14f70,CALL 0xffffffff81d14f70,direct call
xen_load_idt,0x35,ctx->rax,"MOV qword ptr [RAX],RDX",write other [TODO]
xen_load_idt,0x45,ctx->wordctx->ptrctx->rax + 0x8,"MOV word ptr [RAX + 0x8],DX",write other [TODO]
xen_load_idt,0x4b,0xffffffff810274b0,CALL 0xffffffff810274b0,direct call
xen_load_idt,0x56,ctx->rax - 0x7cc023e0,"MOV qword ptr [RAX + -0x7cc023e0],0x0",write other [TODO]
xen_load_idt,0x61,ctx->rax - 0x7cc023d8,"MOV qword ptr [RAX + -0x7cc023d8],0x0",write other [TODO]
xen_load_idt,0x6c,0xffffffff8102c2f0,CALL 0xffffffff8102c2f0,direct call
xen_load_idt,0x78,0xffffffff81cfe000,CALL 0xffffffff81cfe000,direct call
xen_load_idt,0x88,0xffffffff81d14ff0,CALL 0xffffffff81d14ff0,direct call
xen_load_idt,0x92,,RET,ret
xen_write_idt_entry,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
xen_write_idt_entry,0x44,0xffffffff8102c2f0,CALL 0xffffffff8102c2f0,direct call
xen_write_idt_entry,0x51,ctx->rbx,"MOV qword ptr [RBX],RAX",write other [TODO]
xen_write_idt_entry,0x54,ctx->rbx + 0x8,"MOV qword ptr [RBX + 0x8],RDX",write other [TODO]
xen_write_idt_entry,0x8a,,RET,ret
xen_write_idt_entry,0xdd,ctx->rsp + 0x28,"MOV qword ptr [RSP + 0x28],0x0",write stack
xen_write_idt_entry,0x101,ctx->rsp + 0x10,"MOV byte ptr [RSP + 0x10],R12B",write stack
xen_write_idt_entry,0x126,ctx->rsp + 0x8,"MOV qword ptr [RSP + 0x8],RAX",write stack
xen_write_idt_entry,0x12b,0xffffffff81d04440,CALL 0xffffffff81d04440,direct call
xen_write_idt_entry,0x145,ctx->rsp + 0x18,"MOV qword ptr [RSP + 0x18],RAX",write stack
xen_write_idt_entry,0x14f,ctx->wordctx->ptrctx->rsp + 0x12,"MOV word ptr [RSP + 0x12],AX",write stack
xen_write_idt_entry,0x16a,ctx->rsp + 0x11,"MOV byte ptr [RSP + 0x11],AL",write stack
xen_write_idt_entry,0x16e,0xffffffff81cfe000,CALL 0xffffffff81cfe000,direct call
xen_write_idt_entry,0x17d,0xffffffff82000810,CALL 0xffffffff82000810,direct call
set_aliased_prot,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
set_aliased_prot,0x1c,0xffffffff8108e4b0,CALL 0xffffffff8108e4b0,direct call
set_aliased_prot,0x2d,0xffffffff82e4ba50,CALL qword ptr [0xffffffff82e4ba50],in-direct call
set_aliased_prot,0x6c,0xffffffff82e4ba58,CALL qword ptr [0xffffffff82e4ba58],in-direct call
set_aliased_prot,0x88,0xffffffff8128d090,CALL 0xffffffff8128d090,direct call
set_aliased_prot,0x95,0xffffffff81cfe1c0,CALL 0xffffffff81cfe1c0,direct call
set_aliased_prot,0xb2,0xffffffff81cfe1c0,CALL 0xffffffff81cfe1c0,direct call
set_aliased_prot,0xce,,RET,ret
set_aliased_prot,0xf3,0xffffffff82000810,CALL 0xffffffff82000810,direct call
xen_free_ldt,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
xen_free_ldt,0x45,0xffffffff81027c80,CALL 0xffffffff81027c80,direct call
xen_free_ldt,0x57,,RET,ret
xen_free_ldt,0x58,,RET,ret
xen_alloc_ldt,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
xen_alloc_ldt,0x45,0xffffffff81027c80,CALL 0xffffffff81027c80,direct call
xen_alloc_ldt,0x57,,RET,ret
xen_alloc_ldt,0x58,,RET,ret
xen_load_sp0,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
xen_load_sp0,0xd,0xffffffff810272d0,CALL 0xffffffff810272d0,direct call
xen_load_sp0,0x14,0xffffffff8102c4d0,CALL 0xffffffff8102c4d0,direct call
xen_load_sp0,0x19,ctx->rax,"MOV qword ptr [RAX],0x3",write other [TODO]
xen_load_sp0,0x20,ctx->rax + 0x10,"MOV qword ptr [RAX + 0x10],0x18",write other [TODO]
xen_load_sp0,0x28,ctx->rax + 0x18,"MOV qword ptr [RAX + 0x18],RBX",write other [TODO]
xen_load_sp0,0x2e,0xffffffff810277c0,CALL 0xffffffff810277c0,direct call
xen_load_sp0,0x33,ctx->gs + 0x6004,"MOV qword ptr GS:[0x6004],RBX",write other [TODO]
xen_load_sp0,0x40,,RET,ret
xen_write_cr0,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
xen_write_cr0,0xd,ctx->gs + 0x1e2a0,"MOV qword ptr GS:[0x1e2a0],RDI",write other [TODO]
xen_write_cr0,0x15,0xffffffff810272d0,CALL 0xffffffff810272d0,direct call
xen_write_cr0,0x20,0xffffffff8102c4d0,CALL 0xffffffff8102c4d0,direct call
xen_write_cr0,0x28,ctx->rax,"MOV qword ptr [RAX],0x5",write other [TODO]
xen_write_cr0,0x2f,ctx->rax + 0x10,"MOV qword ptr [RAX + 0x10],RBX",write other [TODO]
xen_write_cr0,0x35,0xffffffff810277c0,CALL 0xffffffff810277c0,direct call
xen_write_cr0,0x3f,,RET,ret
xen_set_ldt,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
xen_set_ldt,0x16,0xffffffff810272d0,CALL 0xffffffff810272d0,direct call
xen_set_ldt,0x20,0xffffffff8102c4d0,CALL 0xffffffff8102c4d0,direct call
xen_set_ldt,0x30,ctx->rbx,"MOV dword ptr [RBX],0xd",write other [TODO]
xen_set_ldt,0x36,ctx->rbx + 0x8,"MOV qword ptr [RBX + 0x8],R14",write other [TODO]
xen_set_ldt,0x3a,ctx->rbx + 0x10,"MOV dword ptr [RBX + 0x10],R13D",write other [TODO]
xen_set_ldt,0x3e,ctx->r12,"MOV qword ptr [R12],0x1a",write other [TODO]
xen_set_ldt,0x46,ctx->r12 + 0x10,"MOV qword ptr [R12 + 0x10],RBX",write other [TODO]
xen_set_ldt,0x4b,ctx->r12 + 0x18,"MOV qword ptr [R12 + 0x18],0x1",write other [TODO]
xen_set_ldt,0x54,ctx->r12 + 0x20,"MOV qword ptr [R12 + 0x20],0x0",write other [TODO]
xen_set_ldt,0x5d,ctx->r12 + 0x28,"MOV qword ptr [R12 + 0x28],0x7ff0",write other [TODO]
xen_set_ldt,0x68,0xffffffff810277c0,CALL 0xffffffff810277c0,direct call
xen_set_ldt,0x75,,RET,ret
xen_do_write_msr,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
xen_do_write_msr,0x56,,RET,ret
xen_do_write_msr,0x6e,0xffffffff81cfe320,CALL 0xffffffff81cfe320,direct call
xen_do_write_msr,0x8f,0xffffffff81c953d8,CALL 0xffffffff81c953d8,direct call
xen_do_write_msr,0xa9,ctx->rbp - 0x24,"MOV dword ptr [RBP + -0x24],EDX",write stack
xen_do_write_msr,0xac,0xffffffff81024ee0,CALL 0xffffffff81024ee0,direct call
xen_do_write_msr,0xd0,ctx->rbx,"MOV dword ptr [RBX],R14D",write other [TODO]
xen_do_write_msr,0xe4,0xffffffff81cfe320,CALL 0xffffffff81cfe320,direct call
xen_do_write_msr,0x102,0xffffffff81c953d8,CALL 0xffffffff81c953d8,direct call
xen_do_write_msr,0x11d,0xffffffff81cfe320,CALL 0xffffffff81cfe320,direct call
xen_do_write_msr,0x12f,ctx->rbx,"MOV dword ptr [RBX],0xfffffffb",write other [TODO]
xen_do_write_msr,0x141,,RET,ret
xen_do_write_msr,0x192,0xffffffff81c953d8,CALL 0xffffffff81c953d8,direct call
xen_write_msr_safe,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
xen_write_msr_safe,0x11,ctx->rbp - 0x4,"MOV dword ptr [RBP + -0x4],0x0",write stack
xen_write_msr_safe,0x18,0xffffffff81028070,CALL 0xffffffff81028070,direct call
xen_write_msr_safe,0x21,,RET,ret
xen_write_msr,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
xen_write_msr,0x1e,0xffffffff81028070,CALL 0xffffffff81028070,direct call
xen_write_msr,0x24,,RET,ret
xen_copy_trap_info,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
xen_copy_trap_info,0x20,0xffffffff810274b0,CALL 0xffffffff810274b0,direct call
xen_copy_trap_info,0x26,,RET,ret
__raw_callee_save_xen_pte_val,0x10,0xffffffff8102b9c0,CALL 0xffffffff8102b9c0,direct call
__raw_callee_save_xen_pte_val,0x22,,RET,ret
__raw_callee_save_xen_pgd_val,0x10,0xffffffff8102ba30,CALL 0xffffffff8102ba30,direct call
__raw_callee_save_xen_pgd_val,0x22,,RET,ret
__raw_callee_save_xen_make_pte,0x10,0xffffffff8102baa0,CALL 0xffffffff8102baa0,direct call
__raw_callee_save_xen_make_pte,0x22,,RET,ret
__raw_callee_save_xen_make_pgd,0x10,0xffffffff8102bac0,CALL 0xffffffff8102bac0,direct call
__raw_callee_save_xen_make_pgd,0x22,,RET,ret
__raw_callee_save_xen_pmd_val,0x10,0xffffffff8102bae0,CALL 0xffffffff8102bae0,direct call
__raw_callee_save_xen_pmd_val,0x22,,RET,ret
__raw_callee_save_xen_make_pmd,0x10,0xffffffff8102bb50,CALL 0xffffffff8102bb50,direct call
__raw_callee_save_xen_make_pmd,0x22,,RET,ret
__raw_callee_save_xen_pud_val,0x10,0xffffffff8102bb70,CALL 0xffffffff8102bb70,direct call
__raw_callee_save_xen_pud_val,0x22,,RET,ret
__raw_callee_save_xen_make_pud,0x10,0xffffffff8102bbe0,CALL 0xffffffff8102bbe0,direct call
__raw_callee_save_xen_make_pud,0x22,,RET,ret
__raw_callee_save_xen_p4d_val,0x10,0xffffffff8102bc00,CALL 0xffffffff8102bc00,direct call
__raw_callee_save_xen_p4d_val,0x22,,RET,ret
__raw_callee_save_xen_make_p4d,0x10,0xffffffff8102bc70,CALL 0xffffffff8102bc70,direct call
__raw_callee_save_xen_make_p4d,0x22,,RET,ret
__raw_callee_save_xen_make_pte_init,0x10,0xffffffff8102bdb0,CALL 0xffffffff8102bdb0,direct call
__raw_callee_save_xen_make_pte_init,0x22,,RET,ret
__pgd,0x4,0xffffffff82e4ba68,CALL qword ptr [0xffffffff82e4ba68],in-direct call
__pgd,0xb,,RET,ret
pmd_val,0x4,0xffffffff82e4ba78,CALL qword ptr [0xffffffff82e4ba78],in-direct call
pmd_val,0xb,,RET,ret
pud_val,0x4,0xffffffff82e4ba88,CALL qword ptr [0xffffffff82e4ba88],in-direct call
pud_val,0xb,,RET,ret
pfn_pte,0x32,0xffffffff82e4ba58,CALL qword ptr [0xffffffff82e4ba58],in-direct call
pfn_pte,0x39,,RET,ret
xen_get_user_pgd,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
xen_get_user_pgd,0x92,,RET,ret
xen_pte_unlock,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
xen_pte_unlock,0x9,0xffffffff81d14ff0,CALL 0xffffffff81d14ff0,direct call
xen_pte_unlock,0xf,,RET,ret
xen_read_cr3,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
xen_read_cr3,0x12,,RET,ret
set_current_cr3,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
set_current_cr3,0x9,ctx->gs + 0x1e2d8,"MOV qword ptr GS:[0x1e2d8],RDI",write other [TODO]
set_current_cr3,0x12,,RET,ret
xen_page_pinned,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
xen_page_pinned,0x47,,RET,ret
xen_exchange_memory,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
xen_exchange_memory,0x21,ctx->rbp - 0x48,"MOV qword ptr [RBP + -0x48],R10",write stack
xen_exchange_memory,0x32,ctx->rbp - 0x38,"MOV dword ptr [RBP + -0x38],ESI",write stack
xen_exchange_memory,0x35,ctx->wordctx->ptrctx->rbp - 0x30,"MOV word ptr [RBP + -0x30],AX",write stack
xen_exchange_memory,0x3c,ctx->wordctx->ptrctx->rbp - 0x10,"MOV word ptr [RBP + -0x10],CX",write stack
xen_exchange_memory,0x42,ctx->rbp - 0x14,"MOV dword ptr [RBP + -0x14],EAX",write stack
xen_exchange_memory,0x4e,ctx->rbp - 0x20,"MOV qword ptr [RBP + -0x20],RDX",write stack
xen_exchange_memory,0x55,ctx->rbp - 0x40,"MOV qword ptr [RBP + -0x40],R11",write stack
xen_exchange_memory,0x59,ctx->rbp - 0x28,"MOV qword ptr [RBP + -0x28],R9",write stack
xen_exchange_memory,0x5d,ctx->rbp - 0x18,"MOV dword ptr [RBP + -0x18],R8D",write stack
xen_exchange_memory,0x6f,0xffffffff81cfe180,CALL 0xffffffff81cfe180,direct call
xen_exchange_memory,0x8d,,RET,ret
xen_leave_lazy_mmu,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
xen_leave_lazy_mmu,0x10,0xffffffff8102c2f0,CALL 0xffffffff8102c2f0,direct call
xen_leave_lazy_mmu,0x15,0xffffffff81080700,CALL 0xffffffff81080700,direct call
xen_leave_lazy_mmu,0x24,,RET,ret
xen_leave_lazy_mmu,0x25,0xffffffff82000810,CALL 0xffffffff82000810,direct call
xen_leave_lazy_mmu,0x2b,,RET,ret
xen_pgd_free,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
xen_pgd_free,0xc,0xffffffff810284b0,CALL 0xffffffff810284b0,direct call
xen_pgd_free,0x1b,0xffffffff812ef340,CALL 0xffffffff812ef340,direct call
xen_pgd_free,0x21,,RET,ret
drop_mm_ref_this_cpu,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
drop_mm_ref_this_cpu,0x48,,RET,ret
drop_mm_ref_this_cpu,0x49,0xffffffff8102c2f0,CALL 0xffffffff8102c2f0,direct call
drop_mm_ref_this_cpu,0x53,,RET,ret
drop_mm_ref_this_cpu,0x5b,0xffffffff8108c480,CALL 0xffffffff8108c480,direct call
pte_pfn_to_mfn.part.0,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
pte_pfn_to_mfn.part.0,0x60,,RET,ret
pte_pfn_to_mfn.part.0,0x6d,0xffffffff81025a60,CALL 0xffffffff81025a60,direct call
pte_pfn_to_mfn.part.0,0x7f,,RET,ret
xen_ptep_modify_prot_start,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
xen_ptep_modify_prot_start,0xe,,RET,ret
FUN_ffffffff8102881f,0x3e,0xffffffff82000418,CALL 0xffffffff82000418,direct call
FUN_ffffffff8102881f,0x54,,RET,ret
FUN_ffffffff8102881f,0x55,0xffffffff82000818,CALL 0xffffffff82000818,direct call
xen_mc_issue,0x9,0xffffffff81080830,CALL 0xffffffff81080830,direct call
xen_mc_issue,0x1f,0xffffffff82e4b960,CALL qword ptr [0xffffffff82e4b960],in-direct call
xen_mc_issue,0x2a,,RET,ret
xen_mc_issue,0x6c,0xffffffff8102c2f0,CALL 0xffffffff8102c2f0,direct call
xen_mc_batch,0x5,0xffffffff82e4b950,CALL qword ptr [0xffffffff82e4b950],in-direct call
xen_mc_batch,0xe,0xffffffff82e4b958,CALL qword ptr [0xffffffff82e4b958],in-direct call
xen_mc_batch,0x14,0xffffffff81080830,CALL 0xffffffff81080830,direct call
xen_mc_batch,0x1b,ctx->gs + 0x1ef10,"MOV qword ptr GS:[0x1ef10],RBX",write other [TODO]
xen_mc_batch,0x28,,RET,ret
mfn_to_pfn,0x21,,RET,ret
mfn_to_pfn,0xae,,RET,ret
mfn_to_pfn,0xbf,0xffffffff81025a60,CALL 0xffffffff81025a60,direct call
mfn_to_pfn,0xe5,0xffffffff81025a60,CALL 0xffffffff81025a60,direct call
remap_area_pfn_pte_fn,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
remap_area_pfn_pte_fn,0x46,ctx->rdx,"MOV qword ptr [RDX],RCX",write other [TODO]
remap_area_pfn_pte_fn,0x90,ctx->rax,"MOV qword ptr [RAX],R13",write other [TODO]
remap_area_pfn_pte_fn,0xa4,ctx->rax,"MOV qword ptr [RAX],RDX",write other [TODO]
remap_area_pfn_pte_fn,0xab,ctx->rax + 0x8,"MOV qword ptr [RAX + 0x8],R12",write other [TODO]
remap_area_pfn_pte_fn,0xbc,,RET,ret
remap_area_pfn_pte_fn,0xc1,ctx->rbx,"MOV qword ptr [RBX],RDX",write other [TODO]
remap_area_pfn_pte_fn,0x102,0xffffffff81025a60,CALL 0xffffffff81025a60,direct call
xen_remap_exchanged_ptes,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
xen_remap_exchanged_ptes,0x27,ctx->rsp + 0x8,"MOV qword ptr [RSP + 0x8],RCX",write stack
xen_remap_exchanged_ptes,0x2c,ctx->rsp + 0x14,"MOV dword ptr [RSP + 0x14],ESI",write stack
xen_remap_exchanged_ptes,0x30,0xffffffff81028900,CALL 0xffffffff81028900,direct call
xen_remap_exchanged_ptes,0x50,ctx->rsp + 0x18,"MOV qword ptr [RSP + 0x18],RAX",write stack
xen_remap_exchanged_ptes,0x60,0xffffffff8102c4d0,CALL 0xffffffff8102c4d0,direct call
xen_remap_exchanged_ptes,0x88,ctx->rsi + 0x10,"MOV qword ptr [RSI + 0x10],R15",write other [TODO]
xen_remap_exchanged_ptes,0xbc,ctx->rsi,"MOV qword ptr [RSI],0xe",write other [TODO]
xen_remap_exchanged_ptes,0xc8,ctx->rsi + 0x20,"MOV qword ptr [RSI + 0x20],RDX",write other [TODO]
xen_remap_exchanged_ptes,0xd3,ctx->rsi + 0x18,"MOV qword ptr [RSI + 0x18],RAX",write other [TODO]
xen_remap_exchanged_ptes,0x107,0xffffffff810268e0,CALL 0xffffffff810268e0,direct call
xen_remap_exchanged_ptes,0x119,0xffffffff81028880,CALL 0xffffffff81028880,direct call
xen_remap_exchanged_ptes,0x12c,,RET,ret
xen_zap_pfn_range,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
xen_zap_pfn_range,0x22,ctx->rsp + 0x1c,"MOV dword ptr [RSP + 0x1c],ESI",write stack
xen_zap_pfn_range,0x26,ctx->rsp + 0x20,"MOV qword ptr [RSP + 0x20],RCX",write stack
xen_zap_pfn_range,0x2b,0xffffffff81028900,CALL 0xffffffff81028900,direct call
xen_zap_pfn_range,0x4e,0xffffffff81026760,CALL 0xffffffff81026760,direct call
xen_zap_pfn_range,0x76,ctx->rax + ctx->r12 * 0x8,"MOV qword ptr [RAX + R12*0x8],RCX",write other [TODO]
xen_zap_pfn_range,0xa4,0xffffffff8102c4d0,CALL 0xffffffff8102c4d0,direct call
xen_zap_pfn_range,0x117,ctx->rdx,"MOV qword ptr [RDX],RDI",write other [TODO]
xen_zap_pfn_range,0x11a,ctx->rsi,"MOV qword ptr [RSI],0xe",write other [TODO]
xen_zap_pfn_range,0x121,ctx->rsi + 0x10,"MOV qword ptr [RSI + 0x10],RBX",write other [TODO]
xen_zap_pfn_range,0x125,ctx->rsi + 0x18,"MOV qword ptr [RSI + 0x18],0x0",write other [TODO]
xen_zap_pfn_range,0x12d,ctx->rsi + 0x20,"MOV qword ptr [RSI + 0x20],0x0",write other [TODO]
xen_zap_pfn_range,0x155,0xffffffff81026760,CALL 0xffffffff81026760,direct call
xen_zap_pfn_range,0x1d4,ctx->rsp,"MOV qword ptr [RSP],RSI",write stack
xen_zap_pfn_range,0x1d8,ctx->rsp + 0x8,"MOV qword ptr [RSP + 0x8],R8",write stack
xen_zap_pfn_range,0x1dd,ctx->rsp + 0x10,"MOV qword ptr [RSP + 0x10],RDX",write stack
xen_zap_pfn_range,0x1e2,0xffffffff81025a60,CALL 0xffffffff81025a60,direct call
xen_zap_pfn_range,0x216,0xffffffff81028880,CALL 0xffffffff81028880,direct call
xen_zap_pfn_range,0x229,,RET,ret
xen_zap_pfn_range,0x22a,ctx->rsp,"MOV qword ptr [RSP],RSI",write stack
xen_zap_pfn_range,0x22e,ctx->rsp + 0x8,"MOV qword ptr [RSP + 0x8],R8",write stack
xen_zap_pfn_range,0x233,ctx->rsp + 0x10,"MOV qword ptr [RSP + 0x10],RDX",write stack
xen_zap_pfn_range,0x238,0xffffffff81025a60,CALL 0xffffffff81025a60,direct call
__xen_pgd_walk,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
__xen_pgd_walk,0x1a,ctx->rbp - 0x50,"MOV qword ptr [RBP + -0x50],RSI",write stack
__xen_pgd_walk,0x1e,ctx->rbp - 0x30,"MOV qword ptr [RBP + -0x30],RDX",write stack
__xen_pgd_walk,0x5d,ctx->rbp - 0x38,"MOV dword ptr [RBP + -0x38],EBX",write stack
__xen_pgd_walk,0x71,ctx->rbp - 0x40,"MOV dword ptr [RBP + -0x40],EBX",write stack
__xen_pgd_walk,0x95,ctx->rbp - 0x54,"MOV dword ptr [RBP + -0x54],EBX",write stack
__xen_pgd_walk,0x9e,ctx->rbp - 0x3c,"MOV dword ptr [RBP + -0x3c],ECX",write stack
__xen_pgd_walk,0xa1,ctx->rbp - 0x60,"MOV dword ptr [RBP + -0x60],EBX",write stack
__xen_pgd_walk,0xa4,ctx->rbp - 0x5c,"MOV dword ptr [RBP + -0x5c],EAX",write stack
xen_flush_tlb_all,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
xen_flush_tlb_all,0x10,0xffffffff81028900,CALL 0xffffffff81028900,direct call
xen_flush_tlb_all,0x1a,0xffffffff8102c4d0,CALL 0xffffffff8102c4d0,direct call
xen_flush_tlb_all,0x1f,ctx->rdx,"MOV dword ptr [RDX],0xa",write other [TODO]
xen_flush_tlb_all,0x25,ctx->rax,"MOV qword ptr [RAX],0x1a",write other [TODO]
xen_flush_tlb_all,0x2c,ctx->rax + 0x10,"MOV qword ptr [RAX + 0x10],RDX",write other [TODO]
xen_flush_tlb_all,0x30,ctx->rax + 0x18,"MOV qword ptr [RAX + 0x18],0x1",write other [TODO]
xen_flush_tlb_all,0x38,ctx->rax + 0x20,"MOV qword ptr [RAX + 0x20],0x0",write other [TODO]
xen_flush_tlb_all,0x40,ctx->rax + 0x28,"MOV qword ptr [RAX + 0x28],0x7ff0",write other [TODO]
xen_flush_tlb_all,0x4f,0xffffffff81028880,CALL 0xffffffff81028880,direct call
xen_flush_tlb_all,0x5e,,RET,ret
xen_flush_tlb_all,0xa6,0xffffffff82000810,CALL 0xffffffff82000810,direct call
xen_flush_tlb_all,0xac,,RET,ret
xen_remap_pfn,0x0,0xffffffff81077be0,CALL 0xffffffff81077be0,direct call
xen_remap_pfn,0x21,ctx->rsp + 0x28,"MOV dword ptr [RSP + 0x28],ECX",write stack
xen_remap_pfn,0x28,ctx->rsp + 0x40,"MOV qword ptr [RSP + 0x40],RAX",write stack
xen_remap_pfn,0x32,ctx->rsp,"MOV qword ptr [RSP],RDI",write stack
xen_remap_pfn,0x36,ctx->rsp + 0x20,"MOV qword ptr [RSP + 0x20],RSI",write stack
xen_remap_pfn,0x4e,ctx->rsp + 0x59,"MOV byte ptr [RSP + 0x59],CL",write stack
xen_remap_pfn,0x57,ctx->rsp + 0x60,"MOV qword ptr [RSP + 0x60],R9",write stack
xen_remap_pfn,0x5f,ctx->rsp + 0x50,"MOV qword ptr [RSP + 0x50],RDX",write stack
xen_remap_pfn,0x64,ctx->rsp + 0x2c,"MOV dword ptr [RSP + 0x2c],0x0",write stack
xen_remap_pfn,0x8e,ctx->rsp + 0x40,"MOV qword ptr [RSP + 0x40],R9",write stack
xen_remap_pfn,0x95,ctx->rsp + 0x4c,"MOV dword ptr [RSP + 0x4c],0x0",write stack
xen_remap_pfn,0xa5,ctx->rsp + 0x68,"MOV qword ptr [RSP + 0x68],R13",write stack
xen_remap_pfn,0xb1,ctx->rsp + 0x14,"MOV dword ptr [RSP + 0x14],EDX",write stack
xen_remap_pfn,0xbc,ctx->rsp + 0x18,"MOV qword ptr [RSP + 0x18],RDX",write stack
xen_remap_pfn,0xc5,ctx->rsp + 0x8,"MOV qword ptr [RSP + 0x8],RDX",write stack
xen_remap_pfn,0xca,0xffffffff812cac70,CALL 0xffffffff812cac70,direct call
xen_remap_pfn,0x11a,0xffffffff81cfe020,CALL 0xffffffff81cfe020,direct call
xen_remap_pfn,0x13b,ctx->rsp + 0x38,"MOV dword ptr [RSP + 0x38],EAX",write stack
xen_remap_pfn,0x150,ctx->rsp + 0x30,"MOV qword ptr [RSP + 0x30],R11",write stack
xen_remap_pfn,0x155,ctx->rsp + 0x3c,"MOV dword ptr [RSP + 0x3c],R8D",write stack
xen_remap_pfn,0x15a,ctx->rsp + 0x40,"MOV qword ptr [RSP + 0x40],R9",write stack
xen_remap_pfn,0x15f,0xffffffff81c8cc30,CALL 0xffffffff81c8cc30,direct call
xen_remap_pfn,0x183,ctx->r9 + ctx->rax * 0x4,"MOV dword ptr [R9 + RAX*0x4],R12D",write other [TODO]
xen_remap_pfn,0x187,ctx->rsp + 0x4c,"MOV dword ptr [RSP + 0x4c],EBX",write stack
xen_remap_pfn,0x1c0,ctx->rsp + 0x40,"MOV qword ptr [RSP + 0x40],R9",write stack
